file,#,organization-name,city-state,organization-type,position-held,from,to
"White House/Manigault, Omarosa",1,"Donald J. Trump for President, Inc.","New York City, New York",Presidential Campaign,Director of African American Outreach,7/2016,11/2017
"White House/Manigault, Omarosa",2,Presidential Transition Team,"Washington, District of Columbia",,Executive Committee,11/2016,1/2017
"White House/Manigault, Omarosa",3,Presidential Inaugural Committee,"Washington, District of Columbia",,Public Liaison,1/2017,1/2017
"White House/Manigault, Omarosa",4,Howard University School of Business,"Washington, District of Columbia",University/Colle ge,Adjunct,1/2010,5/2016
"White House/Manigault, Omarosa",5,Los Angeles Unified School District,"Los Angeles, California",,Teacher,1/2014,2/2016
"White House/Marquis, Ashley H.",1,The Glover Park Group,"Washington, District of Columbia",Corporation,Vice President,8/2014,2/2017
"White House/Marshall, Kirk R",1,Trump For America,"Washington, District of Columbia",Non-Profit,Project Leadership,8/2016,1/2017
"White House/Marshall, Kirk R",2,Deloitte Consulting,"McLean, Virginia",Corporation,Senior Consultant,8/2015,5/2017
"White House/Marshall, Kirk R",3,Booz Allen Hamilton,"McLean, Virginia",Corporation,Associate,2/2009,7/2015
"White House/Mashburn, John K",1,"Trump for America, Inc.","Washington, District of Columbia",Non-Profit,Senior Policy Advisor,11/2016,1/2017
"White House/Mashburn, John K",2,"Donald J. Trump for President, Inc.","New York, New York",Political Campaign,Policy Director,4/2016,11/2016
"White House/Mashburn, John K",3,American Civil Rights Union,"Alexandria, Virginia",Non-Profit,Consultant,2/2017,3/2017
"White House/Matich, Nicholas T",1,Williams & Connolly LLP,"Washington, District of Columbia",Law Firm,Attorney,9/2014,4/2016
"White House/Matich, Nicholas T",2,Bancroft PLLC,"Washington, District of Columbia",Law Firm,Attorney,5/2016,10/2016
"White House/Matich, Nicholas T",3,Kirkland & Ellis LLP,"Washington, District of Columbia",Law Firm,Attorney,10/2016,Present
"White House/Matich, Nicholas T",4,Trump for America,"Washington, District of Columbia",Non-Profit,Transition Team Member,9/2016,1/2017
"White House/McEntee, John D",1,Fox News,"New York, New York",Corporation,Production Assistant,1/2015,7/2015
"White House/McEntee, John D",2,Donald J. Trump for President,"New York, New York",Non-Profit,Campaign Trip Director,9/2015,Present
"White House/McFarland, Kathleen",1,Fox News,"New York, New York",Corporation,contributor,9/2009,11/2016
"White House/McGahn, Donald F",1,Jones Day,"Washington, District of Columbia",Law Firm,Partner,6/2014,1/2017
"White House/McGahn, Donald F",2,President Elect's Transition Team,"Washington, District of Columbia",Presidential Transition Act Entity,Counsel,11/2016,1/2017
"White House/McGinley, Bill",1,Jones Day,"Washington, District of Columbia",Law Firm,Partner,6/2014,1/2017
"White House/McGinley, Bill",2,The George Washington University Law School,"Washington, District of Columbia",University/Colle ge,"Adjunct Faculty, Professorial Lecturer in Law",8/2016,1/2017
"White House/McGinley, Bill",3,"The George Washington University Law School, Political Law Studies Initiative Steering Committee","Washington, District of Columbia",University/Colle ge,Chairman,9/2013,1/2017
"White House/McGinley, Bill",4,Holy Trinity Catholic Church,"Washington, District of Columbia",Non-Profit,Member of Development Committee,1/2014,12/2016
"White House/Meeks, Daris",1,Venable LLP,"Washington, District of Columbia",Law Firm,Partner,11/2014,1/2017
"White House/Miller, Stephen",1,California Villages,"Los, Angeles, California",Corporation,Vice President,1/2013,12/2016
"White House/Miller, Stephen",2,"Trump For America, Inc.","Washington, District of Columbia",Presidential Transition,National Policy Director,11/2016,1/2017
"White House/Morgan, Matthew",1,Barnes & Thornburg LLP,"Indianapolis, Indiana",Law Firm,Partner,9/2008,1/2017
"White House/Morgan, Matthew",2,"D.A.R.E. Indiana, Inc.","Indianapolis, Indiana",Non-Profit,Director,11/2014,1/2017
"White House/Morgan, Matthew",3,"Trump for America, Inc.","Washington, District of Columbia",Non-Profit,Trustee,11/2016,1/2017
"White House/Munisteri, Stephen P",1,Republican National Committee (RNC),"Washington, District of Columbia",Political Organization,Senior Advisor to Chairman Priebus,10/2016,1/2017
"White House/Munisteri, Stephen P",2,Republican National Committee (RNC),"Washington, District of Columbia",Political Organization,Independent Consultant,3/2016,10/2016
"White House/Munisteri, Stephen P",3,"Rand Paul for President, Inc.","Washington, District of Columbia",Political Campaign,Senior Advisor,4/2015,2/2016
"White House/Munisteri, Stephen P",4,Republican Party of Texas,"Austin, Texas",Political Party,Chairman,6/2010,3/2015
"White House/Navarro, Peter",1,University of California-Irvine,"Irvine, California",University/Colle ge,Professor,7/1989,2/2017
"White House/Nevins, Kristan K",1,SBD Advisors,"Washington, District of Columbia",Limited Liability Corporation,Director of Strategy,12/2015,2/2017
"White House/Niceta, Anna C",1,Design Cuisine,"Arlington, Virginia",Corporation,account executive,2/1995,2/2017
"White House/Olmem, Andrew",1,Venable,"Washington DC, District of Columbia",Law Firm,Partner,6/2013,4/2017
"White House/Olmem, Andrew",2,American Bar Association - Banking Law Committee,"Washington, District of Columbia",Non-Profit,Chair/Vice Chair - Subcom on Regulation/Legi slation,6/2014,2/2017
"White House/Paoletta, Mark",1,DLA Piper LLP,"Washington, D. C., District of Columbia",Law Firm,Partner,7/2012,8/2016
"White House/Paoletta, Mark",2,DLA Piper LLP,"Washington D.C., District of Columbia",Law Firm,Of Counsel,8/2016,12/2016
"White House/Paoletta, Mark",3,MP Strategies LLC,"Tyson's Corner, Virginia",Corporation,President,9/2016,1/2017
"White House/Paoletta, Mark",4,"Trump for America, Inc.","Washington, District of Columbia",Non-Profit,Volunteer,12/2016,1/2017
"White House/Passantino, Stefan",1,"Dentons US, LLP","Atlanta, Georgia",Law Firm,Partner,7/2015,1/2017
"White House/Passantino, Stefan",2,"McKenna, Long & Aldridge, LLP","Atlanta, Georgia",Law Firm,Partner,7/2003,7/2015
"White House/Passantino, Stefan",3,Georgia Leads on Education,"Atlanta, Georgia",Non-Profit,Director,6/2015,1/2017
"White House/Passantino, Stefan",4,"Access to Credit Coalition, Inc.","Atlanta, Georgia",Non-Profit,Officer,3/2013,1/2017
"White House/Passantino, Stefan",5,"Gingrich Productions, Inc.","Atlanta, Georgia",Corporation,General Counsel & Secretary,2/2007,1/2017
"White House/Passantino, Stefan",6,GTC Men's Golf Association,"Acworth, Georgia",Non-Profit,Secretary,10/2014,1/2017
"White House/Passantino, Stefan",7,Opportunity for All Georgia Students,"Atlanta, Georgia",Non-Profit,Officer,7/2016,11/2016
"White House/Passantino, Stefan",8,The Lubbers Agency,"Atlanta, Georgia",Corporation,General Counsel & Secretary,2/2005,1/2017
"White House/Passantino, Stefan",9,"Georgia Leads, Inc.","Atlanta, Georgia",Non-Profit,Officer,2/2015,1/2017
"White House/Passantino, Stefan",10,Gingrich Foundation,"Atlanta, Georgia",Non-Profit,General Counsel and Secretary,10/2004,1/2017
"White House/Passantino, Stefan",11,"FGH Publications, LLC","Atlanta, Georgia",Corporation,General Counsel & Secretary,4/2013,1/2017
"White House/Passantino, Stefan",12,"Trump for America, Inc.","Washington, District of Columbia",Presidential Transition Team,Counsel,12/2016,1/2017
"White House/Pavlik, Jennifer",1,State of Indiana,"Indianapolis, Indiana",State Government,Director of Operations,1/2013,8/2016
"White House/Pavlik, Jennifer",2,Trump for America,"Washington, District of Columbia",Transition Team,Director of Operations for Vice President - Elect Mike Pence,11/2016,1/2017
"White House/Pavlik, Jennifer",3,"Donald J. Trump for President, Inc.","New York, New York",Political Campaign,"Deputy Operations Director, Candidate for VP, Mike Pence",8/2016,11/2016
"White House/Pitcock, Joshua",1,Pitcock Consulting LLC,"Washington, District of Columbia",Single-Member LLC,Owner,1/2013,11/2016
"White House/Pitcock, Joshua",2,Trump for America,"Washington, District of Columbia",Non-Profit,Chief of Staff to Vice President Elect,11/2016,1/2017
"White House/Pitcock, Joshua",3,Quadrangle Historical Research Foundation,"Barto, Pennsylvania",Non-Profit,"Member, Board of Directors",1/2013,12/2016
"White House/Pitcock, Joshua",4,"Donald J. Trump for President, Inc.","New York, New York",Political Campaign,Policy Director for VP Nominee,7/2016,11/2016
"White House/Powell, Dina",1,Harvard Business School Social Enterprise Initiative,"Boston, Massachusetts",University/Colle ge,Advisory Board Member,1/2014,Present
"White House/Powell, Dina",2,American University in Cairo,"New York, New York",University/Colle ge,Trustee,7/2007,Present
"White House/Powell, Dina",3,Center for Global Development,"Washington, District of Columbia",Non-Profit,Board Member,7/2012,Present
"White House/Powell, Dina",4,Nightingale Bamford School,"New York, New York",Non-Profit,Trustee,7/2013,Present
"White House/Powell, Dina",5,Tory Burch Foundation,"New York, New York",Non-Profit,Advisory Board Member,6/2014,Present
"White House/Powell, Dina",6,Goldman Sachs Bank USA,"New York, New York",Corporation,Participating Managing Director (PMD),1/2011,Present
"White House/Powell, Dina",7,The Goldman Sachs Foundation,"New York, New York",Non-Profit,President,1/2010,Present
"White House/Priebus, Reinhold R",1,Republican National Committee,"Washington, District of Columbia",Non-Profit,Chairman,1/2011,1/2017
"White House/Priebus, Reinhold R",2,Michael Best & Friedrich LLP,"Milwaukee, Wisconsin",Law Firm,Partner On Leave,1/2011,12/2016
"White House/Reynolds, Lindsay B",1,The LBR Group,"Cincinnati, Ohio",,Owner,/2015,Present
"White House/Reynolds, Lindsay B",2,Lindsay Reynolds,"Cincinnati, Ohio",Sole proprietor,Owner,/2012,Present
"White House/Roman, Michael A",1,Freedom Partners,"Arlington, Virginia",Non-Profit,Vice-President,11/2013,4/2016
"White House/Roman, Michael A",2,MR&A LLC,"Philadelphia, Pennsylvania",LLC,Owner,4/2008,Present
"White House/Roman, Michael A",3,The Public Engagement Group,"Arlington, Virginia",Non-Profit,Trustee,7/2011,3/2016
White House/Sanders. Sarah H,1,Second Street Strategies,"Little Rock, Arkansas",Corporation,Partner,2/2016,1/2017
White House/Sanders. Sarah H,2,Tsamoutales Strategies,"Tallahassee, Florida",Corporation,Executive Vice President,1/2011,4/2015
"White House/Scavino, Dan",1,"Trump for America, Inc.","Washington, District of Columbia",Corporation,Director of Social Media,11/2016,1/2017
"White House/Scavino, Dan",2,Scavino and Associates LLC,"New York, New York",Limited Liability Company,President,5/2015,1/2017
"White House/Schiller, Keith",1,The Trump Organization,"New York City, New York",Corporation,Director of Security,7/2004,1/2017
"White House/Schiller, Keith",2,Donald J. Trump for President,"New York, New York",Non-Profit,Security,6/2015,1/2017
"White House/Schiller, Keith",3,"KS Global Group, LLC","Queens, New York",LLC,Managing Member,10/2015,Present
"White House/Schouten, Schuyler",1,Davis Polk & Wardwell LLP,"Washington, District of Columbia",Law Firm,Associate,5/2015,1/2017
"White House/Schouten, Schuyler",2,"Kissinger Associates, Inc.","New York, New York",Corporation,Senior Director (employee),12/2009,4/2015
"White House/Schultz, James D",1,Cozen O'Connor,"Philadelphia, Pennsylvania",Law Firm,Shareholder,11/2014,Present
"White House/Schultz, James D",2,Drexel University,"Philadelphia, PA, Pennsylvania",Non-Profit,"Member, President's Council of Advisors",2/2015,1/2017
"White House/Schultz, James D",3,Philadelphia Freedom Valley YMCA,"Conshohocken, PA, Pennsylvania",Non-Profit,Member of Board of Directors,1/2014,1/2017
"White House/Schultz, James D",4,Pennsylvania Legal Aid,"Harrisburg, Pennsylvania",Non-Profit,"Member, Board of Trustees",1/2007,1/2017
"White House/Scully, Bethany",1,Freedom Partners Chamber of Commerce,"Arlington, Virginia",Non-Profit,Deputy Director Member Relations,8/2014,5/2016
"White House/Scully, Bethany",2,"Trump for America, Inc","Washington, District of Columbia",Non-Profit,Assistant,1/2017,1/2017
"White House/Shah, Raj",1,America Rising LLC,"Arlington, Virginia",Corporation,Managing Director,3/2013,2/2015
"White House/Shah, Raj",2,Republican National Committee,"Washington, District of Columbia",Political Party,Research Director & Deputy Communication s Director,2/2015,1/2017
"White House/Short, Marc",1,Freedom Partners,"Arlington, Virginia",Non-Profit,President,3/2013,3/2016
"White House/Short, Marc",2,"Advance Strategies, LLC","Arlington, Virginia",Corporation,President,2/2016,12/2016
"White House/Sifakis, George A",1,Axela Government Relations LLC,"Washington, District of Columbia",Corporation,CEO,7/2004,12/2016
"White House/Sifakis, George A",2,Georgetown University,"Washington, District of Columbia",University/Colle ge,Adjunct Professor,6/2016,7/2016
"White House/Simms, Cindy",1,Townsend Public Affairs,"Washington, District of Columbia",Corporation,Senior Associate,12/2013,2/2015
"White House/Sims, Cliff",1,Yellowhammer Multimedia,"Birmingham, Alabama",Corporation,Chief Executive Officer,5/2013,1/2017
"White House/Sims, Cliff",2,Yellowhammer Strategies,"Birmingham, Alabama",Corporation,Principal,5/2012,1/2017
"White House/Sims, Cliff",3,Trump for America,"Washington, District of Columbia",Non-Profit,Communication s Advisor,11/2016,1/2017
"White House/Sims, Cliff",4,"Donald J. Trump for President, Inc.","New York, New York",Corporation,Communication s Advisor,9/2016,11/2016
"White House/Sims, Cliff",5,Alabama Policy Institute,"Birmingham, Alabama",Non-Profit,Board Member,1/2014,1/2017
"White House/Spicer, Sean",1,Republican National Committee,"Washington, District of Columbia",Non-Profit,Chief Strategist and Communication s Director,2/2011,1/2017
"White House/Spicer, Sean",2,"Trump for America, Inc.","Washington, District of Columbia",Presidential Transition Team,Senior Advisor,11/2016,1/2017
"White House/Spicer, Sean",3,Washington International Trade Association,"Washington, District of Columbia",Non-Profit,Board Member,7/2009,1/2017
"White House/Spicer, Sean",4,National Defense Foundation,"Washington, District of Columbia",Non-Profit,Board Member,7/2009,1/2017
"White House/Stepien, Bill",1,"Nassau Strategies, LLC","Hackettstown, New Jersey",Corporation,President,12/2013,1/2017
